Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,2216.53,2249.68,2189.91,2243.74,1998300000,2243.74
2006-01-04,2246.96,2265.28,2246.07,2263.46,1887560000,2263.46
2006-01-05,2264.93,2277.56,2264.50,2276.87,1891750000,2276.87
2006-01-06,2289.21,2306.72,2281.01,2305.62,2233640000,2305.62
2006-01-09,2306.18,2322.63,2303.13,2318.69,1949140000,2318.69
2006-01-10,2306.22,2320.32,2303.93,2320.32,1978160000,2320.32
2006-01-11,2321.41,2332.92,2316.49,2331.36,2380600000,2331.36
2006-01-12,2327.17,2330.31,2313.22,2316.69,2011460000,2316.69
2006-01-13,2317.74,2321.70,2308.16,2317.04,1784410000,2317.04
2006-01-17,2302.56,2305.87,2294.05,2302.69,1702260000,2302.69
2006-01-18,2265.50,2285.94,2264.08,2279.64,2276900000,2279.64
2006-01-19,2291.69,2311.71,2289.82,2301.81,2308150000,2301.81
2006-01-20,2300.36,2300.73,2245.20,2247.70,2348140000,2247.70
2006-01-23,2255.31,2256.24,2241.02,2248.47,1902480000,2248.47
2006-01-24,2256.13,2269.44,2256.03,2265.25,2067470000,2265.25
2006-01-25,2275.30,2275.30,2253.06,2260.65,2188120000,2260.65
2006-01-26,2274.85,2284.07,2264.85,2283.00,2404920000,2283.00
2006-01-27,2293.37,2314.36,2289.47,2304.23,2331690000,2304.23
2006-01-30,2306.24,2313.98,2304.75,2306.78,1900730000,2306.78
2006-01-31,2305.82,2311.83,2292.95,2305.82,2235900000,2305.82
2006-02-01,2294.11,2311.57,2292.23,2310.56,2274610000,2310.56
2006-02-02,2306.57,2308.05,2277.30,2281.57,2307830000,2281.57
2006-02-03,2268.43,2274.62,2255.99,2262.58,2230020000,2262.58
2006-02-06,2263.12,2265.81,2249.75,2258.80,1769530000,2258.80
2006-02-07,2255.94,2265.54,2239.51,2244.96,2117180000,2244.96
2006-02-08,2260.22,2268.72,2246.98,2266.98,2181770000,2266.98
2006-02-09,2273.77,2284.52,2254.26,2255.87,2321310000,2255.87
2006-02-10,2255.77,2266.44,2235.41,2261.88,2017730000,2261.88
2006-02-13,2252.04,2254.31,2232.68,2239.81,1662000000,2239.81
2006-02-14,2243.54,2266.82,2237.47,2262.17,1805300000,2262.17
2006-02-15,2259.04,2277.13,2255.10,2276.43,1783050000,2276.43
2006-02-16,2281.88,2294.63,2278.06,2294.63,1940470000,2294.63
2006-02-17,2291.73,2291.76,2279.63,2282.36,1948640000,2282.36
2006-02-21,2283.52,2284.82,2256.75,2262.96,1747180000,2262.96
2006-02-22,2264.69,2287.99,2259.17,2283.17,1824110000,2283.17
2006-02-23,2279.59,2293.74,2271.82,2279.32,1754200000,2279.32
2006-02-24,2278.27,2287.86,2272.78,2287.04,1583980000,2287.04
2006-02-27,2291.48,2313.53,2291.24,2307.18,1714420000,2307.18
2006-02-28,2300.96,2305.62,2276.74,2281.39,2120560000,2281.39
2006-03-01,2288.15,2315.95,2285.64,2314.64,2190420000,2314.64
2006-03-02,2305.53,2316.93,2299.76,2311.11,2089100000,2311.11
2006-03-03,2299.10,2324.92,2297.09,2302.60,2389040000,2302.60
2006-03-06,2306.66,2309.51,2281.37,2286.03,2112280000,2286.03
2006-03-07,2280.08,2280.08,2259.64,2268.38,1908310000,2268.38
2006-03-08,2260.87,2275.13,2248.65,2267.46,2084040000,2267.46
2006-03-09,2272.26,2279.28,2249.56,2249.72,1957560000,2249.72
2006-03-10,2251.81,2266.99,2239.54,2262.04,1752700000,2262.04
2006-03-13,2269.44,2280.20,2263.68,2267.03,1649550000,2267.03
2006-03-14,2264.25,2296.92,2264.24,2295.90,1911750000,2295.90
2006-03-15,2301.17,2312.49,2293.06,2311.84,2090520000,2311.84
2006-03-16,2319.11,2323.79,2299.55,2299.56,2344240000,2299.56
2006-03-17,2306.17,2310.84,2294.50,2306.48,2540120000,2306.48
2006-03-20,2311.93,2317.13,2305.59,2314.11,1943820000,2314.11
2006-03-21,2312.90,2332.95,2292.55,2294.23,2360430000,2294.23
2006-03-22,2283.39,2305.44,2282.38,2303.35,2116220000,2303.35
2006-03-23,2300.17,2305.17,2287.90,2300.15,1963750000,2300.15
2006-03-24,2304.74,2316.15,2300.37,2312.82,1928040000,2312.82
2006-03-27,2312.47,2319.93,2310.02,2315.58,1850220000,2315.58
2006-03-28,2315.61,2327.83,2299.56,2304.46,1997510000,2304.46
2006-03-29,2309.94,2344.67,2308.41,2337.78,2375300000,2337.78
2006-03-30,2340.23,2353.14,2330.84,2340.82,2160810000,2340.82
2006-03-31,2345.53,2348.89,2334.54,2339.79,1851620000,2339.79
2006-04-03,2352.24,2357.53,2334.60,2336.74,1952960000,2336.74
2006-04-04,2337.95,2350.70,2332.67,2345.36,2082320000,2345.36
2006-04-05,2349.82,2361.91,2341.66,2359.75,2027440000,2359.75
2006-04-06,2358.92,2366.56,2347.64,2361.17,2141860000,2361.17
2006-04-07,2367.32,2375.45,2336.71,2339.02,2002360000,2339.02
2006-04-10,2340.39,2343.59,2326.47,2333.27,1840950000,2333.27
2006-04-11,2337.88,2339.79,2302.19,2310.35,2098780000,2310.35
2006-04-12,2309.39,2318.05,2308.33,2314.68,1536510000,2314.68
2006-04-13,2314.32,2333.03,2310.12,2326.11,1516980000,2326.11
2006-04-17,2325.56,2332.67,2299.42,2311.16,1776170000,2311.16
2006-04-18,2318.27,2357.46,2318.27,2356.14,2252800000,2356.14
2006-04-19,2358.87,2370.93,2350.04,2370.88,2077690000,2370.88
2006-04-20,2368.74,2375.54,2354.07,2362.55,2125120000,2362.55
2006-04-21,2371.65,2371.65,2333.50,2342.86,2326080000,2342.86
2006-04-24,2338.78,2338.78,2324.28,2333.38,2008130000,2333.38
2006-04-25,2338.54,2338.54,2321.64,2330.30,2301780000,2330.30
2006-04-26,2333.57,2342.88,2327.73,2333.63,2084230000,2333.63
2006-04-27,2324.63,2361.89,2315.12,2344.95,2573560000,2344.95
2006-04-28,2321.61,2337.28,2317.47,2322.57,2501760000,2322.57
2006-05-01,2329.79,2334.69,2300.25,2304.79,2076120000,2304.79
2006-05-02,2311.73,2313.93,2302.80,2309.84,2070740000,2309.84
2006-05-03,2311.20,2312.60,2295.03,2303.97,2127260000,2303.97
2006-05-04,2307.38,2326.82,2307.38,2323.90,2054110000,2323.90
2006-05-05,2335.96,2344.37,2332.68,2342.57,1989260000,2342.57
2006-05-08,2342.41,2352.56,2339.46,2344.99,1726260000,2344.99
2006-05-09,2339.71,2343.62,2334.17,2338.25,1845230000,2338.25
2006-05-10,2332.82,2338.25,2314.45,2320.74,2014270000,2320.74
2006-05-11,2319.08,2319.60,2270.51,2272.70,2446770000,2272.70
2006-05-12,2263.97,2264.19,2243.32,2243.78,2289510000,2243.78
2006-05-15,2234.01,2245.18,2220.50,2238.52,2006700000,2238.52
2006-05-16,2239.00,2243.74,2222.80,2229.13,1996620000,2229.13
2006-05-17,2214.90,2222.38,2193.87,2195.80,2337800000,2195.80
2006-05-18,2205.37,2212.95,2180.28,2180.32,2022640000,2180.32
2006-05-19,2183.34,2198.66,2164.54,2193.88,2514380000,2193.88
2006-05-22,2178.15,2184.57,2156.67,2172.86,2269960000,2172.86
2006-05-23,2188.38,2199.56,2158.76,2158.76,2131750000,2158.76
2006-05-24,2159.83,2179.84,2135.81,2169.17,2597020000,2169.17
2006-05-25,2182.43,2198.58,2174.24,2198.24,2028960000,2198.24
2006-05-26,2205.90,2210.49,2196.70,2210.37,1540700000,2210.37
2006-05-30,2202.57,2202.57,2164.74,2164.74,1718660000,2164.74
2006-05-31,2171.46,2185.33,2165.79,2178.88,2119060000,2178.88
2006-06-01,2179.82,2219.86,2177.80,2219.86,2078740000,2219.86
2006-06-02,2229.84,2233.88,2203.73,2219.41,1933380000,2219.41
2006-06-05,2212.35,2219.41,2169.40,2169.62,1733250000,2169.62
2006-06-06,2174.28,2176.47,2144.20,2162.78,2089540000,2162.78
2006-06-07,2166.58,2184.44,2150.69,2151.80,1913870000,2151.80
2006-06-08,2141.59,2151.80,2100.43,2145.32,2948100000,2145.32
2006-06-09,2151.92,2163.21,2133.47,2135.06,1754740000,2135.06
2006-06-12,2137.47,2138.68,2091.32,2091.32,1887720000,2091.32
2006-06-13,2089.88,2108.36,2067.74,2072.47,2594500000,2072.47
2006-06-14,2075.55,2091.94,2065.11,2086.00,2090140000,2086.00
2006-06-15,2098.37,2147.91,2086.00,2144.15,2201490000,2144.15
2006-06-16,2140.51,2144.15,2122.78,2129.95,2428150000,2129.95
2006-06-19,2136.60,2138.77,2104.38,2110.42,1681580000,2110.42
2006-06-20,2110.92,2126.72,2103.77,2107.06,1572100000,2107.06
2006-06-21,2109.22,2152.56,2107.06,2141.20,1854850000,2141.20
2006-06-22,2138.97,2141.20,2113.59,2122.98,1644700000,2122.98
2006-06-23,2120.30,2137.43,2110.81,2121.47,1614510000,2121.47
2006-06-26,2126.46,2135.71,2121.47,2133.67,1392940000,2133.67
2006-06-27,2134.58,2139.43,2098.76,2100.25,1788170000,2100.25
2006-06-28,2105.94,2112.62,2090.78,2111.84,1591310000,2111.84
2006-06-29,2121.50,2174.38,2111.84,2174.38,2165390000,2174.38
2006-06-30,2181.47,2183.48,2164.67,2172.09,2458840000,2172.09
2006-07-03,2177.91,2190.44,2172.09,2190.43,788200000,2190.43
2006-07-05,2174.69,2190.43,2147.12,2153.34,1586970000,2153.34
2006-07-06,2156.30,2168.54,2148.21,2155.09,1585090000,2155.09
2006-07-07,2146.89,2155.09,2126.64,2130.06,1759870000,2130.06
2006-07-10,2135.96,2142.36,2109.18,2116.93,1561790000,2116.93
2006-07-11,2110.42,2129.47,2095.69,2128.86,1971500000,2128.86
2006-07-12,2121.71,2128.86,2090.23,2090.24,1776520000,2090.24
2006-07-13,2076.39,2090.24,2054.10,2054.11,2022040000,2054.11
2006-07-14,2053.88,2056.53,2027.11,2037.35,1779960000,2037.35
2006-07-17,2034.76,2050.65,2028.30,2037.72,1504880000,2037.72
2006-07-18,2043.18,2052.53,2012.78,2043.22,1996880000,2043.22
2006-07-19,2037.68,2086.07,2037.10,2080.71,2304740000,2080.71
2006-07-20,2083.83,2084.24,2038.71,2039.42,1951450000,2039.42
2006-07-21,2035.26,2035.78,2014.07,2020.39,2346890000,2020.39
2006-07-24,2030.49,2061.84,2030.49,2061.84,1975870000,2061.84
2006-07-25,2060.38,2080.11,2055.34,2073.90,1913710000,2073.90
2006-07-26,2066.46,2083.96,2053.64,2070.46,2073310000,2070.46
2006-07-27,2082.57,2093.14,2052.02,2054.47,2120100000,2054.47
2006-07-28,2065.28,2094.95,2065.06,2094.14,1803290000,2094.14
2006-07-31,2087.86,2098.24,2082.62,2091.47,1582270000,2091.47
2006-08-01,2080.34,2080.34,2052.75,2061.99,1663070000,2061.99
2006-08-02,2069.91,2089.00,2069.58,2078.81,1755730000,2078.81
2006-08-03,2064.56,2099.81,2060.91,2092.34,1818790000,2092.34
2006-08-04,2107.83,2119.01,2068.80,2085.05,1832040000,2085.05
2006-08-07,2079.45,2079.45,2064.94,2072.50,1428170000,2072.50
2006-08-08,2079.52,2083.90,2054.13,2060.85,1889440000,2060.85
2006-08-09,2085.56,2097.76,2056.77,2060.28,2074060000,2060.28
2006-08-10,2052.98,2076.35,2048.22,2071.74,1730320000,2071.74
2006-08-11,2066.23,2066.23,2049.84,2057.71,1423530000,2057.71
2006-08-14,2073.01,2092.66,2067.69,2069.04,1480120000,2069.04
2006-08-15,2092.49,2115.01,2089.60,2115.01,1755660000,2115.01
2006-08-16,2127.06,2149.54,2120.11,2149.54,2474760000,2149.54
2006-08-17,2144.30,2168.11,2141.56,2157.61,1919020000,2157.61
2006-08-18,2157.14,2165.47,2138.45,2163.95,1683790000,2163.95
2006-08-21,2151.91,2153.53,2140.81,2147.75,1314000000,2147.75
2006-08-22,2145.31,2162.68,2140.63,2150.02,1555940000,2150.02
2006-08-23,2152.91,2160.11,2126.75,2134.66,1457180000,2134.66
2006-08-24,2142.34,2144.33,2122.65,2137.11,1404360000,2137.11
2006-08-25,2132.17,2152.92,2129.25,2140.29,1282510000,2140.29
2006-08-28,2140.52,2164.22,2139.57,2160.70,1333860000,2160.70
2006-08-29,2161.96,2173.88,2145.22,2172.30,1580990000,2172.30
2006-08-30,2175.07,2188.55,2167.48,2185.73,1620030000,2185.73
2006-08-31,2189.17,2193.34,2181.77,2183.75,1700210000,2183.75
2006-09-01,2194.56,2198.58,2182.93,2193.16,1325540000,2193.16
2006-09-05,2192.94,2207.55,2184.42,2205.70,1732460000,2205.70
2006-09-06,2189.70,2190.26,2167.63,2167.84,1797080000,2167.84
2006-09-07,2160.05,2174.80,2149.36,2155.29,1847190000,2155.29
2006-09-08,2160.02,2168.44,2154.55,2165.79,1457220000,2165.79
2006-09-11,2152.12,2180.39,2147.44,2173.25,1694280000,2173.25
2006-09-12,2174.61,2217.28,2174.61,2215.82,2007990000,2215.82
2006-09-13,2214.80,2229.18,2211.14,2227.67,1860530000,2227.67
2006-09-14,2221.73,2230.97,2218.86,2228.73,1826600000,2228.73
2006-09-15,2243.28,2247.16,2227.72,2235.59,2455870000,2235.59
2006-09-18,2232.99,2247.47,2228.52,2235.75,1914200000,2235.75
2006-09-19,2239.86,2239.86,2202.93,2222.37,2079920000,2222.37
2006-09-20,2242.11,2257.28,2242.11,2252.89,2164940000,2252.89
2006-09-21,2257.54,2261.47,2232.89,2237.75,1993110000,2237.75
2006-09-22,2233.55,2233.55,2210.13,2218.93,1646540000,2218.93
2006-09-25,2227.37,2253.45,2212.02,2249.07,1833860000,2249.07
2006-09-26,2247.72,2261.78,2243.67,2261.34,2011140000,2261.34
2006-09-27,2256.17,2271.00,2254.37,2263.39,2039100000,2263.39
2006-09-28,2266.93,2273.12,2252.91,2270.02,1805260000,2270.02
2006-09-29,2273.30,2273.30,2257.98,2258.43,1812120000,2258.43
2006-10-02,2257.00,2262.67,2235.68,2237.60,1769170000,2237.60
2006-10-03,2233.01,2251.86,2224.21,2243.65,1946800000,2243.65
2006-10-04,2239.88,2290.98,2239.26,2290.95,2190280000,2290.95
2006-10-05,2289.53,2306.35,2287.61,2306.34,1911090000,2306.34
2006-10-06,2296.15,2306.28,2289.99,2299.99,1672470000,2299.99
2006-10-09,2297.82,2317.42,2295.25,2311.77,1485280000,2311.77
2006-10-10,2314.12,2319.06,2302.24,2315.43,1760360000,2315.43
2006-10-11,2304.67,2322.07,2292.29,2308.27,1995600000,2308.27
2006-10-12,2318.28,2346.29,2318.28,2346.18,2003960000,2346.18
2006-10-13,2344.70,2360.23,2341.40,2357.29,1940530000,2357.29
2006-10-16,2359.19,2368.11,2358.01,2363.84,1823620000,2363.84
2006-10-17,2354.07,2354.07,2329.80,2344.95,2125950000,2344.95
2006-10-18,2355.42,2362.09,2330.49,2337.15,2130750000,2337.15
2006-10-19,2332.54,2345.24,2324.43,2340.94,2000690000,2340.94
2006-10-20,2340.94,2349.36,2329.13,2342.30,1922070000,2342.30
2006-10-23,2338.15,2364.20,2330.61,2355.56,1823480000,2355.56
2006-10-24,2352.49,2356.03,2335.91,2344.84,1856880000,2344.84
2006-10-25,2346.77,2359.76,2338.65,2356.59,2100780000,2356.59
2006-10-26,2361.09,2379.29,2347.88,2379.10,2339540000,2379.10
2006-10-27,2375.17,2377.34,2347.07,2350.62,2268950000,2350.62
2006-10-30,2347.21,2371.06,2341.03,2363.77,1724180000,2363.77
